CP#,Nombre,Descripción,Datos de entrada,RE,RO
CP-1,Inicio de sesión correcto,Verificar que el usuario pueda ingresar al cajero con tarjeta y PIN válido.,PIN correcto,Inicio de sesion Valido,
CP-2,PIN incorrecto,Validar que el sistema rechace el acceso con PIN inválido.,PIN incorrecto,Inicio de Sesión No valido,
CP-3,Bloqueo por intentos,Verificar bloqueo tras varios intentos fallidos de PIN.,PIN incorrecto,Bloqueo de Inicio de Sesión,
CP-4,Consultar saldo,Verificar que el usuario pueda consultar su saldo.,Cuenta válida,Consulta de saldo Valida,
CP-5,Retiro exitoso,Validar que el usuario pueda retirar dinero si tiene saldo suficiente.,Monto válido,Retiro de dinero Valido,
CP-6,Retiro sin saldo,Validar que no permita retirar más dinero del disponible.,Monto > saldo,Retiro de dinero No Valido,
CP-7,Retiro monto inválido,Verificar que no se acepten montos no permitidos.,Monto negativo o no múltiplo,Retiro de dinero No Valido,
CP-8,Transferencia exitosa,Validar transferencia a otra cuenta correctamente.,Cuenta válida,Transferencia exitosa,
CP-9,Transferencia a cuenta inválida,Validar error si la cuenta destino no existe.,Cuenta inexistente,Transferencia no Valida,
CP-10,Salir correctamente,Verificar que el usuario pueda cerrar sesión.,-,Cierre de sesión Valido,
CP-11,Tarjeta no leída,Validar error si el cajero no detecta la tarjeta.,Tarjeta inválida,Tarjeta No Valida,
CP-12,Cajero sin efectivo,Validar que el sistema informe falta de dinero.,Monto válido,Proceso no valido,
CP-13,Cancelar operación,Verificar que el usuario pueda cancelar una operación en curso.,-,Cancelación valida,
C-14,Sesión expirada,Validar cierre automático por inactividad.,Tiempo excedido,Cierre de sesión Valido,
CP-15,Doble retiro (edge case),Validar que no se procesen dos retiros por doble selección rápida.,Acción duplicada,Bloqueo de proceso,
CP16,Interrupción durante retiro,Validar comportamiento ante fallo del sistema durante retiro.,#VALOR!,Reverso o alerta,
